available_cities,available_days,available_time_slots,base_price,breed_specific,category,city_pricing,created_at,created_by,deposit_percentage,description,duration,duration_minutes,excludes,features,fulfillment,id,image,image_url,includes,is_24x7,is_active,is_bookable,is_free,is_synced_from_product,mira_whispers,name,payment_timing,pet_count_pricing,pet_size_pricing,pet_sizes,pet_types,pillar,price,provider_id,provider_name,requires_consultation,service_type,source_product_id,status,sync_timestamp,tags,updated_at
,,,,,assessment,,,,,Comprehensive fitness evaluation with personalised exercise programme.,90 min,,,"['Body Condition Score', 'Mobility Assessment', 'Custom Exercise Plan', 'Nutrition Tips']",,svc-fit-assessment,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Fitness Assessment & Programme Design,,,,,,fit,2499,,,,,,,,,
,,,,,training,,,,,One-on-one training sessions with a certified canine fitness trainer.,8 weeks,,,"['16 Sessions', 'Progress Tracking', 'Home Exercises', 'Trainer Support']",,svc-fit-training,https://images.unsplash.com/photo-1601758003122-53c40e686a19?w=800,,,,True,,,,,Personal Training Programme - 8 Weeks,,,,,,fit,7999,,,,,,,,,
,,,,,weight,,,,,Structured weight loss/gain programme with nutritionist support.,12 weeks,,,"['Diet Plan', 'Weekly Weigh-ins', 'Exercise Routine', 'Progress Reports']",,svc-fit-weight,https://images.unsplash.com/photo-1546815693-7533bae19894?w=800,,,,True,,,,,Weight Management Programme,,,,,,fit,5999,,,,,,,,,
,,,,,therapy,,,,,Low-impact aquatic therapy for rehabilitation and fitness.,45 min,,,"['Heated Pool', 'Professional Therapist', 'Joint-Friendly', 'All Ages Welcome']",,svc-fit-hydro,https://images.unsplash.com/photo-1560743641-3914f2c45636?w=800,,,,True,,,,,Hydrotherapy Sessions,,,,,,fit,1499,,,,,,,,,
,,,,,senior,,,,,Gentle exercises designed for older dogs to maintain mobility.,Monthly,,,"['Low Impact', 'Pain Management', 'Flexibility Focus', 'Home Visits Available']",,svc-fit-senior,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Senior Mobility Programme,,,,,,fit,4999,,,,,,,,,
,,,,,puppy,,,,,Age-appropriate exercises and socialisation for growing pups.,8 weeks,,,"['Growth-Safe Exercises', 'Socialisation', 'Basic Commands', 'Play Groups']",,svc-fit-puppy,https://images.unsplash.com/photo-1601758003122-53c40e686a19?w=800,,,,True,,,,,Puppy Development Programme,,,,,,fit,3999,,,,,,,,,
,,,,,training,,,,,Introduction to agility training for dogs of all skill levels.,6 weeks,,,"['Equipment Training', 'Confidence Building', 'Fun Obstacles', 'Competition Prep']",,svc-fit-agility,https://images.unsplash.com/photo-1546815693-7533bae19894?w=800,,,,True,,,,,Agility Foundation Course,,,,,,fit,4499,,,,,,,,,
,,,,,wellness,,,,,Relaxing yoga session for you and your dog to bond and de-stress.,60 min,,,"['Breathing Exercises', 'Gentle Stretches', 'Bonding Time', 'Stress Relief']",,svc-fit-yoga,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Canine Yoga (Doga) Session,,,,,,fit,799,,,,,,,,,
,,,,,grooming,,,,,"Full grooming service including bath, haircut, nail trim, and ear cleaning.",2-3 hours,,,"['Bath & Dry', 'Breed-Specific Cut', 'Nail Trim', 'Ear Cleaning']",,svc-care-grooming,https://images.unsplash.com/photo-1516734212186-a967f81ad0d7?w=800,,,,True,,,,,Premium Grooming Session,,,,,,care,1499,,,,,,,,,
,,,,,vet,,,,,Licensed veterinarian visits your home for check-ups and consultations.,45-60 min,,,"['Home Visit', 'Basic Check-up', 'Prescription if Needed', 'Follow-up Call']",,svc-care-vet,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?w=800,,,,True,,,,,Vet Consultation at Home,,,,,,care,1999,,,,,,,,,
