Status,Pillar,Product Name,Product ID,image_url,cloudinary_url
NEEDS NEW IMAGE,Treats & Rewards,CSV Test Dog Treat,PROD-A01EFF7E3801,,
NEEDS NEW IMAGE,adopt,Adoption Readiness Planning,prod-SVC-ADOPT-READINESS,,
NEEDS NEW IMAGE,adopt,Anxiety Relief Vest,adopt-comfort-41224bc1,,
NEEDS NEW IMAGE,adopt,Breed Suitability Advisory,prod-SVC-ADOPT-SUITABILITY,,
NEEDS NEW IMAGE,adopt,Calming Bolster Bed,adopt-comfort-42b20afb,,
NEEDS NEW IMAGE,adopt,Cozy Dog Bed,adopt-day1-0a1759a0,,
NEEDS NEW IMAGE,adopt,Crate Privacy Cover,adopt-comfort-798c8fdf,,
NEEDS NEW IMAGE,adopt,Engraved ID Tag,adopt-day1-8c40827f,,
NEEDS NEW IMAGE,adopt,Enrichment Puzzle Toy Set,adopt-prod-puzzle-toys,,
NEEDS NEW IMAGE,adopt,Ethical Adoption Discovery,prod-SVC-ADOPT-DISCOVER,,
NEEDS NEW IMAGE,adopt,First 30 Days Support,prod-SVC-ADOPT-TRANSITION,,
NEEDS NEW IMAGE,adopt,Fleece Blanket,adopt-day1-6163d2f5,,
NEEDS NEW IMAGE,adopt,Home Preparation Guidance,prod-SVC-ADOPT-HOME,,
NEEDS NEW IMAGE,adopt,No-Pull Harness,adopt-day1-8b91821e,,
NEEDS NEW IMAGE,adopt,Premium Bowl Set,adopt-day1-b870c9a7,,
NEEDS NEW IMAGE,adopt,Training Pee Pads (30 Pack),adopt-day1-65070c54,,
NEEDS NEW IMAGE,care,Calming Dog Bed,advisory-home-605c53e3,,
NEEDS NEW IMAGE,care,Crate Training Mat,advisory-home-47f2e977,,
NEEDS NEW IMAGE,care,De-shedding Slicker Brush,advisory-grooming-5bb06d25,,
NEEDS NEW IMAGE,care,First Collar & Tag Set,advisory-puppy-7b2cd3f6,,
NEEDS NEW IMAGE,care,Joint Care Supplement (60 tablets),advisory-senior-e83bd172,,
