id,name,price,category,subcategory,description,image,pillar_shop,pillar_celebrate,pillar_dine,pillar_stay,pillar_travel,pillar_care,pillar_enjoy,pillar_fit,pillar_learn,pillar_paperwork,pillar_advisory,pillar_emergency,pillar_farewell,pillar_adopt
shopify-8742247891098,Pick-A-Treat Pup Box,1199.0,treats,all-treats,"Because every good dog deserves a little bit of everything  Our Treats &amp; Tails Box lets you mix, match, and spoil your pup the right way. Whats inside:  Grain-free chicken treats (chicken liver or",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitleddesign-2026-01-17T110113.430.png?v=1768627888,Y,Y,Y,,,,,,,,,,,
shopify-8742243238042,Go Bananas Box,499.0,other,dognuts,"Go Bananas for better treats  A feel-good banana combo made with simple, nourishing ingredients your dog will love. Inside the box:  Banana-topped Pupcake  Banana Fro-Yo  Banana &amp; Oat Cookies Perf",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitleddesign-2026-01-17T105403.300.png?v=1768627457,Y,Y,,,,,,,,,,,,
shopify-8740883824794,Berry Much Love Box,499.0,other,dognuts,"Berry Much Love, packed in one box  A wholesome strawberry-themed combo made to celebrate dogs the healthy way. Inside youll find:  Strawberry Fro-Yo  Strawberry Heart Pupcake  Berry Chicken Heart Coo",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/2N9A0879copy.jpg?v=1768627176,Y,Y,,,,,,,,,,,,
shopify-8661308375194,Googly Ghoul Dognuts,475.0,dognuts,dognuts,Because Halloweens more fun with a little spook and a lot of wag!  These eye-popping do(g)nuts are frosted with spinach &amp; yogurt for the ghoulish green and peanut butter &amp; yogurt for the spide,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Designer_2.png?v=1761635166,Y,Y,,,,,,,,,,,,
shopify-8661314961562,Jack O Lick Pupcakes,475.0,dognuts,dognuts,"Trick or treat? Definitely treat!  These Halloween-themed pupcakes are topped with homemade yogurt and natural orange coloring to bring Jack O Lanterns to life  freshly baked, 100% dog-safe, and guara",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Designer_5.png?v=1761639445,Y,Y,,,,,,,,,,,,
shopify-8661303918746,Creepy Crawly Dognuts,475.0,dognuts,dognuts,Spooky meets scrumptious with these Halloween-themed do(g)nuts!  Frosted with spinach &amp; yogurt for the eerie green eyes and peanut butter &amp; yogurt for the spiderweb swirl  each bite is 100% do,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Designer_6_a14c4938-d240-4a9c-b4dc-2d8c5c96aa02.png?v=1761639341,Y,Y,,,,,,,,,,,,
shopify-8661298741402,Spooky Pupcakes,475.0,dognuts,dognuts,"A Halloween-perfect mix of Jack-o-lantern  and spooky eyeball  pupcakes  made with healthy, pet-safe ingredients and topped with homemade yogurt. The Jack-o-lanterns get their glow from natural orange",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Designer_4.png?v=1761635507,Y,Y,,,,,,,,,,,,
shopify-8642355429530,Puppuccino Toy,699.0,accessories,accessories,"One Puppuccino, coming right up! Weve taken your dogs favorite coffee house treat and transformed it into an adorable plush toy for your dog to enjoy! Feed their inner foodie with this delicious toy a",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/ZP1066_MAIN_01.jpg?v=1759739324,Y,,,,Y,Y,Y,,,,,,,
shopify-8642354741402,Cola Can Squeaky Toy,480.0,accessories,accessories,Quench your pups thirst for fizzy fun with the Zippy Cola Squeakie Can toy! Each can-shaped toy provides hours of squeaking fun that all dogs crave. Toss your doggo a Squeakie Can today! No stuffing.,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitled_design_-_2025-10-06T141058.801.png?v=1759740193,Y,,,,Y,Y,Y,,,,,,,
shopify-7222825058458,Dog Birthday Cake Hamper W/ Toy,1599.0,hampers,hampers,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a bandana to match this is everything that you and your little baby will need for the perfect family celebration Cake Party Box",https://cdn.shopify.com/s/files/1/0417/2844/2522/products/WhatsAppImage2022-05-13at3.24.11PM.jpg?v=1655357921,Y,Y,,,,,Y,,,,,,,
shopify-7222829908122,Breed Birthday Cake Hamper W/ Toy,1899.0,hampers,hampers,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a bandana to match this is everything that you and your little baby will need for the perfect family celebration Cake Party Box",https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Breed_Birthday_Cake_Hamper_Toy.png?v=1723637829,Y,Y,,,,,Y,,,,,,,
