id,name,base_price,category,type,description,pillar_shop,pillar_celebrate,pillar_dine,pillar_stay,pillar_travel,pillar_care,pillar_enjoy,pillar_fit,pillar_learn,pillar_paperwork,pillar_advisory,pillar_emergency,pillar_farewell,pillar_adopt
svc-fit-15e96e63,Fitness Assessment & Programme Design,2499,assessment,service,"Comprehensive fitness evaluation including body condition scoring, mobility assessment, and personalised exercise programme design.",,,,,,,,Y,,,,,,
svc-fit-85322381,Personal Training Programme - 8 Weeks,7999,training,service,One-on-one training sessions with a certified canine fitness trainer. Includes home exercises and weekly progress reviews.,,,,,,,,Y,,,,,,
svc-fit-6772e766,Weight Management Programme,5999,weight,service,"Structured weight loss or gain programme with nutrition planning, exercise routines, and regular weigh-ins.",,,,,,,,Y,,,,,,
svc-fit-a6d208d2,Hydrotherapy Sessions,1499,therapy,service,"Water-based therapy sessions for rehabilitation, fitness, or senior mobility. Supervised by trained hydrotherapists.",,,,,,,,Y,,,,,,
svc-fit-314163ce,Senior Mobility Programme,4999,senior,service,"Gentle exercise programme designed for senior dogs. Focus on maintaining mobility, joint health, and quality of life.",,,,,,,,Y,,,,,,
svc-fit-2b0721c5,Puppy Development Programme,3999,puppy,service,Age-appropriate fitness activities for puppies. Build healthy exercise habits and proper physical development.,,,,,,,,Y,,,,,,
svc-fit-c4ff6597,Agility Foundation Course,4499,agility,service,"Introduction to agility training. Learn basic obstacles, commands, and course navigation in a fun environment.",,,,,,,,Y,,,,,,
svc-fit-b3b39dbe,Canine Yoga (Doga) Session,799,wellness,service,"Relaxing yoga session with your dog. Great for bonding, flexibility, and stress relief for both pet and parent.",,,,,,,,Y,,,,,,
svc-celebrate-party,Birthday Party Planning,,party,,Complete party coordination,,Y,,,,,,,,,,,,
svc-celebrate-gotcha,Gotcha Day Celebration,,gotcha,,Celebrate your pet's adoption anniversary with a special gotcha day package.,,Y,,,,,,,,,,,,
svc-celebrate-surprise,Surprise Delivery Service,1499,surprise,,Send surprise treats and gifts to any pet parent! We deliver joy anywhere.,,Y,,,,,,,,,,,,
svc-stay-concierge,Stay Concierge,,,,Find perfect pet-friendly accommodation,,,,Y,,,,,,,,,,
svc-stay-premium,Premium Boarding Setup,,,,Custom boarding arrangement,,,,Y,,,,,,,,,,
svc-travel-planning,Travel Planning,,,,Complete travel coordination,,,,,Y,,,,,,,,,
svc-travel-relocation,Relocation Concierge,,,,Full relocation support,,,,,Y,,,,,,,,,
svc-feed-nutrition,Nutrition Consultation,,,,Expert diet planning,,,,,,,,,,,,,,
svc-feed-meal-plan,Custom Meal Planning,,,,Personalized meal plans,,,,,,,,,,,,,,
svc-care-emergency,Emergency Care Coordination,,,,24/7 emergency support,,,,,,Y,,,,,,,,
svc-fit-assessment,Fitness Assessment,,assessment,,Complete fitness evaluation,,,,,,,,Y,,,,,,
svc-fit-program,Personal Training Program,,,,8-week fitness journey,,,,,,,,Y,,,,,,
svc-learn-behavior,Behavior Consultation,,,,Address specific issues,,,,,,,,,Y,,,,,
svc-enjoy-adventure,Adventure Day Planning,,,,Custom adventure experience,,,,,,,Y,,,,,,,
svc-enjoy-playdate,Playdate Coordination,,,,Group play sessions,,,,,,,Y,,,,,,,
svc-groom-mobile,Mobile Grooming,,,,Grooming at your doorstep,,,,,,,,,,,,,,
svc-adopt-match,Pet Matching Service,,,,Find your perfect pet,,,,,,,,,,,,,,Y
svc-adopt-support,New Pet Support,,,,30-day transition support,,,,,,,,,,,,,,Y
svc-farewell-memorial,Memorial Planning,,,,Dignified farewell service,,,,,,,,,,,,,Y,
svc-farewell-grief,Grief Support,,,,Counseling and support,,,,,,,,,,,,,Y,
svc-dine-reservation,VIP Restaurant Reservations,,,,Priority booking at pet-friendly restaurants,,,Y,,,,,,,,,,,
svc-dine-picnic,Gourmet Picnic Setup,,,,Complete pet-friendly picnic arrangement,,,Y,,,,,,,,,,,
svc-insure-consult,Insurance Consultation,,,,Find the right coverage,,,,,,,,,,,,,,
svc-insure-claims,Claims Assistance,,,,Help with insurance claims,,,,,,,,,,,,,,
svc-shop-styling,Pet Styling Consultation,,,,Product recommendations,Y,,,,,,,,,,,,,
svc-dine-chefs-table,Chef's Table Experience,,,,Private chef dining at pet-friendly restaurants,,,Y,,,,,,,,,,,
svc-dine-private-home,Private Home Dining,,,,Chef comes to your home with pet-safe menu,,,Y,,,,,,,,,,,
svc-dine-catering,Pet Party Catering,,,,Catering for pet birthdays & events,,,Y,,,,,,,,,,,
svc-dine-subscription,Fresh Meal Subscription,,,,Weekly fresh pet meals delivered,,,Y,,,,,,,,,,,
svc-dine-group-event,Group Dining Events,,,,Organize pet parent meetups,,,Y,,,,,,,,,,,
svc-care-grooming,Premium Grooming Session,,grooming,,"Full grooming service including bath, haircut, nail trim, and ear cleaning.",,,,,,Y,,,,,,,,
svc-care-vet,Vet Consultation at Home,,vet,,Licensed veterinarian visits your home for check-ups and consultations.,,,,,,Y,,,,,,,,
svc-care-sitting,Pet Sitting (Daily),,sitting,,Professional pet sitter cares for your pet at your home.,,,,,,Y,,,,,,,,
svc-celebrate-venue,Pet-Friendly Venue Booking,,venue,,We find and book the perfect pet-friendly venue for your celebration.,,Y,,,,,,,,,,,,
svc-learn_prod_clicker,Professional Training Clicker,299,care,,High-quality clicker for positive reinforcement training.,,,,,,Y,,,,,,,,
svc-dine-f9364aff,Pet Caf Visit,499,experiences,,Pet-friendly caf experience with treats,,,,,,,Y,,,,,,,
svc-dine-f4bebcb6,Doggy Brunch Reservation,799,experiences,,Weekend brunch at pet-friendly restaurant,,,,,,,Y,,,,,,,
svc-dine-1dd03b79,Home Chef Pet Meal,399,meals,,Fresh home-cooked meal for your pet,,,Y,,,,,,,,,,,
svc-dine-149222dc,Gourmet Pet Platter,649,meals,,Premium selection of pet-safe treats,,,Y,,,,,,,,,,,
svc-stay-eb1b89c2,Pet Hotel Standard Room,1499,boarding,,Comfortable overnight stay for your pet,,,,Y,,,,,,,,,,
svc-stay-9aeb0242,Luxury Pet Suite,2999,boarding,,Premium suite with extra amenities,,,,Y,,,,,,,,,,
svc-stay-dc128835,Doggy Daycare Pass,599,daycare,,Full day supervised play and care,,,,,,Y,,,,,,,,
svc-travel-14fe2322,Pet Passport Service,1999,services,,Complete documentation for international travel,Y,,,,,,,,,,,,,
svc-travel-bf4970ea,Pet Transport Service,3999,services,,Door-to-door pet transportation,,,,,Y,,,,,,,,,
svc-enjoy-efd5110c,Dog Park Meetup Pass,299,events,,Access to exclusive dog park events,,,,,,,Y,,,,,,,
