breed,product_name,product_type,pillar,all_pillars,sub_category,category,price,cloudinary_url,active
akita,Akita Outdoor Activity Toy,activity_toy,,play,,,549,https://res.cloudinary.com/duoapcx1p/image/upload/v1773140065/doggy/mockups/akita/breed-akita-activity_toy.webp,True
akita,Akita Adoption Document Folder,adoption_folder,,adopt|paperwork,,,449,https://res.cloudinary.com/duoapcx1p/image/upload/v1773165286/doggy/mockups/akita/breed-akita-adoption_folder.webp,True
akita,Akita Birthday Card,birthday_card,,celebrate,,,199,https://res.cloudinary.com/duoapcx1p/image/upload/v1773121086/doggy/mockups/akita/breed-akita-birthday_card.webp,True
akita,Akita Care Checklist Poster,breed_checklist,,advisory,,,349,https://res.cloudinary.com/duoapcx1p/image/upload/v1773153614/doggy/mockups/akita/breed-akita-breed_checklist.webp,True
akita,Akita Mini-Me Plush,breed_plush,,play,,,899,https://res.cloudinary.com/duoapcx1p/image/upload/v1773133408/doggy/mockups/akita/breed-akita-breed_plush.webp,True
akita,Akita Birthday Cake Topper,cake_topper,,celebrate,,,599,https://res.cloudinary.com/duoapcx1p/image/upload/v1773117203/doggy/mockups/akita/breed-akita-cake_topper.webp,True
akita,Akita Car Seat Cover,car_seat_protector,,go,,,1499,https://res.cloudinary.com/duoapcx1p/image/upload/v1773129908/doggy/mockups/akita/breed-akita-car_seat_protector.webp,True
akita,Akita Pet Inside Car Sticker,car_sticker,,emergency|go,,,199,https://res.cloudinary.com/duoapcx1p/image/upload/v1773155209/doggy/mockups/akita/breed-akita-car_sticker.webp,True
akita,Akita Care Guide Book,care_guide,,advisory|learn,,,699,https://res.cloudinary.com/duoapcx1p/image/upload/v1773152121/doggy/mockups/akita/breed-akita-care_guide.webp,True
akita,Akita Crate Mat,crate_mat,,go,,,999,https://res.cloudinary.com/duoapcx1p/image/upload/v1773127811/doggy/mockups/akita/breed-akita-crate_mat.webp,True
akita,Akita Cushion Cover,cushion_cover,,go,,,799,https://res.cloudinary.com/duoapcx1p/image/upload/v1773127193/doggy/mockups/akita/breed-akita-cushion_cover.webp,True
akita,Akita Document Holder,document_holder,,paperwork,,,499,https://res.cloudinary.com/duoapcx1p/image/upload/v1773148299/doggy/mockups/akita/breed-akita-document_holder.webp,True
akita,Akita Emergency Grab Pouch,emergency_pouch,,emergency|go,,,899,https://res.cloudinary.com/duoapcx1p/image/upload/v1773155911/doggy/mockups/akita/breed-akita-emergency_pouch.webp,True
akita,Akita Snuffle Mat,enrichment_mat,,learn|play,,,799,https://res.cloudinary.com/duoapcx1p/image/upload/v1773135181/doggy/mockups/akita/breed-akita-enrichment_mat.webp,True
akita,Akita Feeding Mat,feeding_mat,,dine,,,699,https://res.cloudinary.com/duoapcx1p/image/upload/v1773124076/doggy/mockups/akita/breed-akita-feeding_mat.webp,True
akita,Akita Fetch Toy Set,fetch_toy_set,,play,,,599,https://res.cloudinary.com/duoapcx1p/image/upload/v1773135971/doggy/mockups/akita/breed-akita-fetch_toy_set.webp,True
akita,Akita First Aid Kit,first_aid_kit,,emergency,,,1299,https://res.cloudinary.com/duoapcx1p/image/upload/v1773154411/doggy/mockups/akita/breed-akita-first_aid_kit.webp,True
akita,Akita First Bed Set,first_bed,,adopt|go,,,1499,https://res.cloudinary.com/duoapcx1p/image/upload/v1773163175/doggy/mockups/akita/breed-akita-first_bed.webp,True
akita,Akita Food Storage Container,food_container,,dine,,,899,https://res.cloudinary.com/duoapcx1p/image/upload/v1773124916/doggy/mockups/akita/breed-akita-food_container.webp,True
akita,Akita Grooming Kit Pouch,grooming_pouch,,care,,,599,https://res.cloudinary.com/duoapcx1p/image/upload/v1773131330/doggy/mockups/akita/breed-akita-grooming_pouch.webp,True
akita,Akita ID Tag,id_tag,,care|emergency,,,349,https://res.cloudinary.com/duoapcx1p/image/upload/v1773131932/doggy/mockups/akita/breed-akita-id_tag.webp,True
akita,Akita Memorial Keepsake Box,keepsake_box,,farewell,,,1299,https://res.cloudinary.com/duoapcx1p/image/upload/v1773157454/doggy/mockups/akita/breed-akita-keepsake_box.webp,True
akita,Akita Training Flashcards,learning_cards,,learn,,,449,https://res.cloudinary.com/duoapcx1p/image/upload/v1773141880/doggy/mockups/akita/breed-akita-learning_cards.webp,True
