breed,product_name,product_type,pillar,all_pillars,sub_category,category,price,has_image,in_products_master,visible_on_frontend
akita,Akita Birthday Cake Topper,cake_topper,,celebrate,,,599,YES,YES,YES
akita,Akita Pupcake Decoration Set,pupcake_set,,celebrate,,,449,YES,YES,YES
akita,Akita Birthday Card,birthday_card,,celebrate,,,199,YES,YES,YES
akita,Akita Party Banner,party_banner,,celebrate,,,399,YES,YES,YES
akita,Akita Party Favor Pack,return_gift_pack,,celebrate,,,499,YES,YES,YES
akita,Akita Feeding Mat,feeding_mat,,dine,,,699,YES,NO,YES
akita,Akita Food Storage Container,food_container,,dine,,,899,YES,YES,YES
akita,Akita Dining Placemat,placemat,,dine,,,449,YES,YES,YES
akita,Akita Enrichment Lick Mat,lick_mat,,dine|play,,,549,YES,YES,YES
akita,Akita Cushion Cover,cushion_cover,,go,,,799,YES,YES,YES
akita,Akita Crate Mat,crate_mat,,go,,,999,YES,YES,YES
akita,Akita Room Sign,room_sign,,go,,,399,YES,YES,YES
akita,Akita Travel Organizer Pouch,travel_pouch,,go,,,799,YES,YES,YES
akita,Akita Car Seat Cover,car_seat_protector,,go,,,1499,YES,YES,YES
akita,Akita Grooming Kit Pouch,grooming_pouch,,care,,,599,YES,NO,YES
akita,Akita ID Tag,id_tag,,care|emergency,,,349,YES,NO,YES
akita,Akita Personalized Plush Toy,personalized_toy,,play,,,699,YES,YES,YES
akita,Akita Mini-Me Plush,breed_plush,,play,,,899,YES,YES,YES
akita,Akita Rope Tug Toy,rope_toy,,play,,,449,YES,YES,YES
akita,Akita Snuffle Mat,enrichment_mat,,learn|play,,,799,YES,YES,YES
akita,Akita Fetch Toy Set,fetch_toy_set,,play,,,599,YES,YES,YES
akita,Akita Celebration Props Set,photo_props,,celebrate|play,,,499,YES,YES,YES
akita,Akita Walking Harness Set,walking_set,,play,,,1299,YES,YES,YES
akita,Akita Personalized Leash,personalized_lead,,play,,,699,YES,YES,YES
akita,Akita Poop Bag Dispenser,poop_bag_holder,,play,,,399,YES,YES,YES
akita,Akita Outdoor Activity Toy,activity_toy,,play,,,549,YES,YES,YES
akita,Akita Training Starter Kit,training_kit,,learn,,,999,YES,NO,YES
akita,Akita Training Flashcards,learning_cards,,learn,,,449,YES,YES,YES
akita,Akita Pet Journal,pet_journal,,care|learn,,,599,YES,YES,YES
akita,Akita First Year Memory Book,milestone_book,,celebrate|learn,,,799,YES,YES,YES
akita,Akita Vaccine Record Folder,vaccine_folder,,care|paperwork,,,399,YES,YES,YES
