Type,Name,Pillar,Category,SubCategory,Price,HasImage,Description
Product,Updated Product Name,shop,dognuts,,599,Yes,"Embroidered ""sprinkles"" and toppings make them look like real delicious donuts! "
Product,Love in the Air Mini,celebrate,mini-cakes,,999,Yes,Love in the Air Mini – Valentine Cake for Dogs (200g) Love is in the air… and on
Product,Love Note Mini,celebrate,mini-cakes,,549.0,Yes,Love Note Mini – Personalised Valentine Dog Cake (200g) Celebrate your pup with 
Product,Made-For-Your-Pup Box,celebrate,hampers,,499.0,Yes,"A fully custom treat box, made exactly the way your dog likes it. What’s inside:"
Product,Pick-A-Treat Pup Box,celebrate,hampers,,1199.0,Yes,Because every good dog deserves a little bit of everything 🐶🎁 Our Treats &amp; T
Product,Go Bananas Box,celebrate,hampers,,499.0,Yes,"Go Bananas for better treats 🍌🐾 A feel-good banana combo made with simple, nouri"
Product,Berry Much Love Box,celebrate,hampers,,499.0,Yes,"Berry Much Love, packed in one box 🍓🐾 A wholesome strawberry-themed combo made t"
Product,👻 Googly Ghoul Dognuts 🐾,shop,dognuts,,475.0,Yes,Because Halloween’s more fun with a little spook and a lot of wag! 💚 These eye-p
Product,🎃Jack O’ Lick Pupcakes 🐾,celebrate,dognuts,,475.0,Yes,Trick or treat? Definitely treat! 🧡 These Halloween-themed pupcakes are topped w
Product,🕸️ Creepy Crawly Dognuts 🐾,shop,dognuts,,475.0,Yes,Spooky meets scrumptious with these Halloween-themed do(g)nuts! 👻 Frosted with s
Product,🎃 Spooky Pupcakes 👁️,celebrate,dognuts,,475.0,Yes,A Halloween-perfect mix of Jack-o’-lantern 🎃 and spooky eyeball 👁️ pupcakes — ma
Product,Dog Birthday Cake Hamper w/ Toy,celebrate,cakes,,1599.0,Yes,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a banda"
Product,Breed Birthday Cake Hamper w/ Toy,celebrate,cakes,,1899.0,Yes,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a banda"
Product,Coconut & Honey Ladoos,celebrate,desi-treats,,295.0,Yes,"🟡 Coconut &amp; Honey Ladoos for Dogs Golden, festive, and oh-so-irresistible! 🥥"
Product,Oat Ladoos,celebrate,desi-treats,,295.0,Yes,"🟡 Oat Ladoos for Dogs A simple, hearty treat that celebrates both health and hap"
Product,Desi Tails Diwali Treat Box,celebrate,hampers,,349.0,Yes,A Celebration in Every Bite – Desi Doggy Sweet Box! 🎊 A delicious assortment of 
Product,Choco Dognut Toy,shop,dognuts,,449.0,Yes,"Embroidered ""sprinkles"" and toppings make them look like real delicious donuts! "
Product,Kawaii Woofy Cake,celebrate,cakes,,600.0,Yes,"Bring home the cuteness overload with our round, anime-inspired Kawaii Woofy Cak"
Product,Cheeky Boney,celebrate,cakes,,600.0,Yes,"Shaped like a playful bone, this cake is topped with our homemade yogurt frostin"
Product,Tailored Peanut Butter Cake,celebrate,cakes,,699.0,Yes,Make your pup’s special day truly unique with the Tailored Peanut Butter Cake ! 
Product,Peanut Butter & Yoghurt Woof Dognuts,celebrate,dognuts,,450.0,Yes,Donuts made just for dogs—with love! These soft-baked goodies are glazed with ou
Product,Bone Rakhi Treat Box - Coconut-Honey Ladoos & Kaju Katlis,celebrate,hampers,,249.0,Yes,For the sibling who wags their tail every time you walk in — the Bone Rakhi Box 
Product,Paw Rakhi Celebration Box - Coconut-Honey Ladoos & Kaju Katlis,shop,hampers,,249.0,Yes,"Celebrate the bond of love, licks, and loyalty with our Paw Rakhi Box ! This box"
Product,Labowbow,celebrate,breed-cakes,,600.0,Yes,"Introducing the Labuba Cake – made for Labrador lovers and their joyful, tail-wa"
